Priority,Date,Start Time,End Time,Description,Volunteer Name,Seller Number,Mobile Number,Seletected Time
None,"Thu, Aug 4, 2016",9:00 AM,12:00 PM,Rack Retrieval- Rack setup -heavy lifting,"Stardust, Ziggy",B336,919-123-1234,"Tue, Jun 21, 2016 8:08"
Medium,"Thu, Aug 4, 2016",9:00 AM,12:00 PM,Rack Retrieval- Rack setup -heavy lifting,"Conda, Anna",E532,919-123-1235,"Wed, Jul 13, 2016 12:52"
Medium,"Thu, Aug 4, 2016",9:00 AM,12:00 PM,Rack Retrieval- Rack setup -heavy lifting,"Graham, Anna",H961,919-123-1236,"Sat, Jul 9, 2016 9:44"
Medium,"Thu, Aug 4, 2016",9:00 AM,12:00 PM,Rack Retrieval- Rack setup -heavy lifting,"Teak, Anne",J865,919-123-1237,"Fri, Jul 15, 2016 10:30"
Medium,"Thu, Aug 4, 2016",9:00 AM,12:00 PM,Rack Retrieval- Rack setup -heavy lifting,"Hammer, Armand",D526,919-123-1238,"Tue, Jun 21, 2016 8:21"
Medium,"Thu, Aug 4, 2016",9:00 AM,12:00 PM,Rack Retrieval- Rack setup -heavy lifting,"Rubin, Billy",D602,919-123-1239,"Thu, Jun 23, 2016 2:37"
None,"Thu, Aug 4, 2016",9:00 AM,12:00 PM,Rack Retrieval- Rack setup -heavy lifting,"Lee, Brock",D486,919-123-1240,"Fri, Jun 24, 2016 10:53"
None,"Thu, Aug 4, 2016",1:00 PM,4:00 PM,Setup,"Noring, Constance",B336,919-123-1241,"Tue, Jun 21, 2016 8:08"
Medium,"Thu, Aug 4, 2016",1:00 PM,4:00 PM,Setup,"Druff, Dan",E532,919-123-1242,"Wed, Jul 13, 2016 12:52"
Medium,"Thu, Aug 4, 2016",1:00 PM,4:00 PM,Setup,"Soares, Dinah",M133,919-123-1243,"Tue, Jun 21, 2016 1:53"
Medium,"Thu, Aug 4, 2016",1:00 PM,4:00 PM,Setup,"Rhodes, Dusty",D557,919-123-1244,"Sat, Jul 9, 2016 8:36"
Medium,"Thu, Aug 4, 2016",1:00 PM,4:00 PM,Setup,"Enstein, Frank",D526,919-123-1245,"Tue, Jun 21, 2016 8:21"
None,"Thu, Aug 4, 2016",1:00 PM,4:00 PM,Setup,"Banks, Robin",001699,919-123-1246,"Fri, Jul 1, 2016 4:25"
Medium,"Thu, Aug 4, 2016",4:00 PM,7:00 PM,Setup,"Still, Stan",M133,919-123-1247,"Tue, Jun 21, 2016 1:51"
